comment,author_display_name,comment_like_count
Wow🥰🥰🥰,@ritadey913,0
30 minute rone ke bad... finnaly aapki voice se  better feel hua....thank you so much.. Sanam 🙂,@PriyaKumari-fy5hk,0
"Big fan bhai 
Love from Nepal Kathmandu",@manushshrestha7724,1
Wow so nice voice ilike your voice💟💟💓,@jimmyrose5972,0
Really very nice voice ❤❤👌👍,@narendramenaria1009,2
aapki aawaj sun k bohot sukun sa milta hai sanam sir,@ladyworld7562,0
"I like u ,your song and stail",@hemendradas7754,0
Your songs simply supeeb!,@saadhnazar3214,3
Aapke voice me 1 zadusa hiji💐💐💐💐,@chandnigwal9792,1
💕💕💕👌😇,@chandnigwal9792,0
Wahhh😊💞💖💞💖,@chandnigwal9792,0
I like saman,@spgamer2358,0
Amezing ❤️❤️❤️❤️,@anjali6999,0
"Ohhhh, sanam your voice so amazing",@dikshagurav141,3
better than original,@lanwilds9585,0
Please make more old hindi song remix its really amazing and love your voice sanam,@bhhumisolanki5975,2
🧡🧡🧡🧡🧡,@sauviknaskar6166,0
Oh sanam love ❤ u all song,@purabimitra6522,1
Keep your good work sanam... I always support you....,@sharadbharti725,1
Love you...so much more from Nepal ❤❤❤🇳🇵🇳🇵,@roshniguptarauniyar,1
🥰😍😘😉❣️❤️👑,@purvanshprajapt7069,1
I am very big fan of sanam puri🤘🤘,@freefire-ny3sy,2
Sanam sir I am ur big fan ❤️❤️❤️,@sanamaju800,1
I love Sanam Brothers they make me young again and again in my old age not only that they take me back to my land from this foreign land. They live with me where ever I go.,@acmvnate,18
The people who disliked this video are burden for earth.,@Aryan-km6xq,5
Wow  is my.  Fhavret you. Singar.  Sanam puri ...  And all.  Miugic friends 😘😘😘😘😍🥰🥰🥰🥰♥️,@shivramramelwar9869,0
Sanam Puri I Love You🥰🥰,@rinaherlina1194,0
Kitna sona rabh ney banaya dost,@ushasanghvi2637,1
Wah very nice ji 🎵 ji,@ushasanghvi2637,1
Dil tetah hey roo roo duhahaii kabhi kisisay pyar na karya.song yeah meray humsafar ek jar intazar dey tari hey pyar ki quamat say quamat taka film .Teri gali gali oo teri gali asquish fim ji 🙏 jsk ji chill ji keep smiling always ji 🙏 ramaya vasta vahi .....rajkoopur ji 🙏 aatayahey jatay uu souchoo tah maine pheli bar .film main pyra kiya fim ji .,@ushasanghvi2637,1
Pal pal dil.kay pass tum rahati hoo jeevavn mitti pyas yeh kaha thi ho,@ushasanghvi2637,1
Awe so touching lyrics ji dost ji n ur my best friend ji,@ushasanghvi2637,2
"Sanam your voice is so sweet and soothing ❤️❤️❤️.
I can sleep listening to you 💕💞",@mehveshanwar8263,8
Topmusici!!!!!,@zaminragunath4698,0
"Topsinger,hearttouching!!!!!!!",@zaminragunath4698,0
"HEY,,..SANAM GREAT JOB DEAR❤️❤️❤️❤️❤️❤️ LOVE YOUR BAND,,,,, I'M SOOOOOOO CRAZY TO LISTENING U GUY'S PLEASE KEEP DOING THIS WAY PLEASE MAN ALWAYS WAITING FOR SOMETHING NEW IN THIS NEW YEAR 2021,,, RIGHT DEAR ❤️❤️❤️❤️❤️❤️❤️❤️👍👍👍👍👍👍👍👍👍👍🥰🥰🥰🥰🥰🥰🥰🥰🥰🙏",@bhavikyaarokayaarfriendsar6527,2
👌👌👌👌nice,@priyadas-sd9fu,0
Note of ecstasy ♥️♥️♥️♥️,@mishraacademyofenglish6503,11
lovely songs,@hunnyff6608,0
